alpha,beta,hidden_dim,num_layers,dropout,lr,mean_valid_mse,median_valid_mse,std_valid_mse,min_valid_mse,max_valid_mse,q25_valid_mse,q75_valid_mse,mean_best_epoch,mean_validation_rank
1,0.1,128,2,0.4,0.0001,0.948578441,0.949595422,0.01325711,0.926458299,0.967092991,0.938763604,0.957665876,1348.1,1
0.7,0.1,128,2,0.4,0.0001,0.949625343,0.952484518,0.012475691,0.92404592,0.962082148,0.945690334,0.959711641,1348.5,2
1,0.4,128,2,0.4,0.0001,0.950246954,0.949922919,0.015354933,0.921847641,0.967579365,0.940667316,0.964765161,1358.2,3
0.6,0.1,128,2,0.4,0.0001,0.950510693,0.953667432,0.013610678,0.926989317,0.965450525,0.942112043,0.962562442,1326.4,4
0.6,0.2,128,2,0.4,0.0001,0.95094353,0.951838195,0.014830785,0.922974467,0.974165022,0.943728685,0.96115455,1342.1,5
0.7,0.2,128,2,0.4,0.0001,0.951061654,0.952742934,0.013393389,0.925481737,0.967789292,0.943508938,0.96199359,1346.7,6
0.2,0.2,128,2,0.4,0.0001,0.95117237,0.954061061,0.013557572,0.92710638,0.968230307,0.942717284,0.960550696,1332.7,7
0.8,0.3,128,2,0.4,0.0001,0.951453203,0.952520072,0.01485991,0.927491188,0.971811712,0.942228898,0.96211943,1277.2,8
0.6,0.3,128,2,0.4,0.0001,0.951526654,0.952324867,0.014645195,0.930191755,0.973843932,0.939100817,0.958886877,1374,9
0.4,0.1,128,2,0.4,0.0001,0.951673037,0.95306161,0.014587034,0.921152711,0.966977775,0.948627815,0.963508144,1324.4,10
0.8,0.4,128,2,0.4,0.0001,0.951743186,0.952715814,0.015945252,0.9213413,0.969736636,0.94299525,0.966479689,1317.8,11
0.6,0.4,128,2,0.4,0.0001,0.951874965,0.953885645,0.016525511,0.922453403,0.977148116,0.941407949,0.961979732,1358.7,12
0.3,0.1,128,2,0.4,0.0001,0.951922077,0.954495817,0.014937666,0.924722016,0.971632183,0.94319053,0.963239193,1319,13
0.8,0.7,128,2,0.4,0.0001,0.951924193,0.95662716,0.014214269,0.924919248,0.966311276,0.943628415,0.964021653,1385.1,14
0.9,0.7,128,2,0.4,0.0001,0.951965773,0.953388244,0.017078675,0.922710598,0.974004388,0.938601524,0.963856906,1384.9,15
1,0.3,128,2,0.4,0.0001,0.951996297,0.955927432,0.015510723,0.927653193,0.972944796,0.937975988,0.963512257,1347,16
0.7,0.7,128,2,0.4,0.0001,0.952126044,0.954896182,0.015007386,0.922525465,0.975571394,0.942587003,0.961800858,1380.9,17
0.3,0.2,128,2,0.4,0.0001,0.952304357,0.951938838,0.016174639,0.9248119,0.975239038,0.945613757,0.965244055,1296.7,18
0.9,0.6,128,2,0.4,0.0001,0.952401674,0.952696025,0.0140214,0.927016199,0.967625618,0.948192716,0.964965492,1356.2,19
0.8,0.1,128,2,0.4,0.0001,0.952503824,0.954227984,0.014769937,0.925199687,0.968278706,0.945107877,0.965508342,1303.7,20
1,0.7,128,2,0.4,0.0001,0.952545726,0.957218498,0.015535417,0.926139653,0.974985778,0.940567017,0.960808501,1359.1,21
0.4,0.4,128,2,0.4,0.0001,0.9529522,0.953021139,0.016317912,0.92312324,0.978313446,0.946477145,0.962887123,1367.2,22
0.8,0.2,128,2,0.4,0.0001,0.953082871,0.956697345,0.015543777,0.919873714,0.971015036,0.945357397,0.963953376,1334.6,23
0.5,0.2,128,2,0.4,0.0001,0.953160757,0.95313701,0.012100113,0.93171972,0.971107483,0.949598894,0.958891109,1323.6,24
0.3,0.3,128,2,0.4,0.0001,0.95322637,0.951613069,0.014898035,0.932503641,0.977398515,0.944621906,0.964327246,1332.9,25
0.7,0.3,128,2,0.4,0.0001,0.953241885,0.956418633,0.014671062,0.925605237,0.971185565,0.948124379,0.963741601,1288.6,26
0.9,0.1,128,2,0.4,0.0001,0.953291678,0.956849039,0.01605716,0.9204638,0.974622607,0.946498662,0.963452667,1308,27
1,0.6,128,2,0.4,0.0001,0.953300464,0.958675265,0.015109929,0.923547029,0.972961426,0.946094483,0.962247968,1363.5,28
1,0.5,128,2,0.4,0.0001,0.953387302,0.953488946,0.013173956,0.929500043,0.970183909,0.94418323,0.963713855,1361.4,29
0.9,0.4,128,2,0.4,0.0001,0.953485769,0.957623214,0.0129305,0.928801656,0.96838975,0.943998843,0.963569924,1341.1,30
0.2,0.1,128,2,0.3,0.0001,0.953524077,0.95637849,0.009239179,0.938364029,0.964655161,0.948752373,0.960111275,1270.2,31
1,0.2,128,2,0.4,0.0001,0.953659523,0.955536187,0.013677333,0.926399231,0.968998432,0.947404921,0.964328378,1309.5,32
0.8,0.5,128,2,0.4,0.0001,0.953669304,0.951855749,0.013277832,0.929562211,0.972902179,0.947042003,0.964829117,1383.3,33
0.7,0.6,128,2,0.4,0.0001,0.953698844,0.953980774,0.013500334,0.933164358,0.976329923,0.944513708,0.961374477,1381.2,34
0.5,0.1,128,2,0.4,0.0001,0.953831458,0.95625636,0.013956525,0.926696539,0.969099581,0.9499605,0.963975206,1300.7,35
0.1,0.1,128,2,0.4,0.0001,0.953835696,0.957577139,0.013888128,0.933210373,0.974019766,0.944236472,0.961595982,1290.2,36
0.9,0.8,128,2,0.4,0.0001,0.954043174,0.95506227,0.015665145,0.925502717,0.982056022,0.94502835,0.960139334,1328,37
0.5,0.4,128,2,0.4,0.0001,0.954171836,0.955018908,0.014539469,0.928602755,0.975118399,0.948055133,0.962787464,1392.4,38
1,0.8,128,2,0.4,0.0001,0.954184049,0.957889229,0.015579105,0.929698646,0.974077642,0.940602615,0.966804892,1379.5,39
0.9,0.5,128,2,0.4,0.0001,0.954309255,0.954380333,0.014909584,0.927560747,0.972330749,0.94341886,0.966732293,1356.1,40
0.8,0.8,128,2,0.4,0.0001,0.954477626,0.95265308,0.012957892,0.927593052,0.975303888,0.949564278,0.963017181,1374.2,41
1,0.9,128,2,0.4,0.0001,0.954641396,0.955009729,0.015037603,0.930943191,0.979143798,0.944994673,0.965667859,1357.2,42
0.5,0.5,128,2,0.4,0.0001,0.954725492,0.95809865,0.01709844,0.922322392,0.980239689,0.946591482,0.964705229,1341.8,43
0.5,0.3,128,2,0.4,0.0001,0.954852867,0.957083642,0.015783179,0.931854904,0.978684306,0.940398663,0.965844855,1364,44
0.4,0.3,128,2,0.4,0.0001,0.955071139,0.956827372,0.015477846,0.924355567,0.978726506,0.94825545,0.964069441,1380.5,45
1,1,128,2,0.4,0.0001,0.955079526,0.959190995,0.015049434,0.930767417,0.976403236,0.941399932,0.966408163,1407.9,46
0.7,0.4,128,2,0.4,0.0001,0.95514397,0.958745271,0.013732514,0.93374157,0.972120345,0.943650082,0.965683177,1367.5,47
0.9,0.2,128,2,0.4,0.0001,0.955489409,0.95942983,0.014439152,0.925549507,0.973418057,0.951138481,0.963135079,1317.8,48
0.8,0.6,128,2,0.4,0.0001,0.955693239,0.959110349,0.01591615,0.923173368,0.97141695,0.952295855,0.966148093,1363.5,49
0.6,0.6,128,2,0.4,0.0001,0.955857235,0.957543999,0.015202856,0.930203438,0.973977566,0.943295613,0.968604237,1390.8,50
0.7,0.5,128,2,0.4,0.0001,0.956764805,0.955642521,0.013833506,0.93407625,0.976094604,0.954550996,0.967469692,1373.1,51
0.6,0.5,128,2,0.4,0.0001,0.957161385,0.956812888,0.014624806,0.933857799,0.97858268,0.948539138,0.968954027,1346.8,52
0.9,0.9,128,2,0.4,0.0001,0.95985024,0.963253677,0.015580973,0.930341899,0.981650889,0.956241339,0.968635187,1325.3,53
0.9,0.3,128,3,0.3,0.0001,0.967470688,0.972138941,0.012777342,0.939788163,0.9809677,0.963317066,0.973639131,1195.2,54
0.4,0.2,128,2,0.3,0.0002,0.968320513,0.97187829,0.016506322,0.934885323,0.994815409,0.965643585,0.975967899,578.4,55
