alpha,beta,lr_valid_mse,lr_test_mse,rf_valid_mse,rf_test_mse,rf_best_params,worker_id_cpu,seed_cpu,train_years_cpu,validation_years_cpu,test_years_cpu,bayes_iterations_cpu,threads_per_worker_cpu,elapsed_seconds_cpu,xgb_valid_mse,xgb_test_mse,xgb_best_params,worker_id_gpu,seed_gpu,train_years_gpu,validation_years_gpu,test_years_gpu,bayes_iterations_gpu,threads_per_worker_gpu,elapsed_seconds_gpu
1.0,1.0,1.6591657,4.050295,1.437379820117709,3.78958167519354,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 7, ""n_estimators"": 111}",0,10,2016-2020,2021,2022-2023,100,4,355.6799077112228,1.0929044485092163,3.9269922,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.0125909122123887, ""max_depth"": 10, ""n_estimators"": 113, ""subsample"": 0.9}",0,10,2016-2020,2021,2022-2023,100,2,227.93936468288305
1.0,0.9,1.660412,4.048334,1.442454371178761,3.2914858676368173,"{""bootstrap"": true, ""max_depth"": 6, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 100}",1,10,2016-2020,2021,2022-2023,100,4,313.9686127398163,1.1166605949401855,3.9481876,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.01, ""max_depth"": 10, ""n_estimators"": 146, ""subsample"": 0.4}",1,10,2016-2020,2021,2022-2023,100,2,237.544661719352
1.0,0.8,1.658462,4.050221,1.4441222978875992,3.812395817863625,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 4, ""n_estimators"": 378}",2,10,2016-2020,2021,2022-2023,100,4,357.2815708704293,1.1498130559921265,4.135866,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.10548600376986167, ""max_depth"": 10, ""n_estimators"": 10, ""subsample"": 0.9}",2,10,2016-2020,2021,2022-2023,100,2,248.2243449445814
1.0,0.7,1.659401,4.0504503,1.4504545596947451,3.83372275746294,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 15, ""n_estimators"": 476}",3,10,2016-2020,2021,2022-2023,100,4,362.26379407942295,1.1036959886550903,3.806304,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.01, ""max_depth"": 10, ""n_estimators"": 153, ""subsample"": 0.9}",3,10,2016-2020,2021,2022-2023,100,2,285.4022579770535
1.0,0.6,1.6599581,4.049786,1.441590467505742,3.576651309977592,"{""bootstrap"": true, ""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 404}",4,10,2016-2020,2021,2022-2023,100,4,333.2710570562631,1.1002886295318604,3.830727,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.12727565413979863, ""max_depth"": 9, ""n_estimators"": 10, ""subsample"": 0.9}",0,10,2016-2020,2021,2022-2023,100,2,213.0551970079541
1.0,0.5,1.6596485,4.049729,1.4461141058447529,3.808877001706784,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 9, ""min_samples_split"": 9, ""n_estimators"": 379}",5,10,2016-2020,2021,2022-2023,100,4,288.67990257404745,1.083688735961914,3.7613664,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 148, ""subsample"": 0.9}",1,10,2016-2020,2021,2022-2023,100,2,265.7344752717763
1.0,0.4,1.6597284,4.0495286,1.4482334360813898,3.800670153485592,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 9, ""min_samples_split"": 9, ""n_estimators"": 379}",6,10,2016-2020,2021,2022-2023,100,4,385.66691483929753,1.0938680171966553,3.969722,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1346868125609313, ""max_depth"": 10, ""n_estimators"": 10, ""subsample"": 0.9}",2,10,2016-2020,2021,2022-2023,100,2,187.99303315021095
1.0,0.3,1.6599056,4.0492744,1.4204250124935467,3.5784576861524613,"{""bootstrap"": true, ""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""n_estimators"": 381}",7,10,2016-2020,2021,2022-2023,100,4,332.33052144013345,1.105213642120361,3.8098116,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.13857225045307267, ""max_depth"": 10, ""n_estimators"": 10, ""subsample"": 0.9}",3,10,2016-2020,2021,2022-2023,100,2,229.6028818357736
1.0,0.2,1.6601928,4.05323,1.4297549808837362,3.795511047328887,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 9, ""min_samples_split"": 9, ""n_estimators"": 379}",0,10,2016-2020,2021,2022-2023,100,4,361.3452113121748,1.0760544538497925,3.5928173,"{""colsample_bytree"": 0.6787402210969171, ""learning_rate"": 0.01, ""max_depth"": 8, ""n_estimators"": 181, ""subsample"": 0.762489502732003}",0,10,2016-2020,2021,2022-2023,100,2,249.80463929101825
1.0,0.1,1.6608677,4.04911,1.4294113508624928,3.797924587926477,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 389}",1,10,2016-2020,2021,2022-2023,100,4,352.8242750559002,1.071998119354248,3.8493333,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.13074010445845163, ""max_depth"": 7, ""n_estimators"": 10, ""subsample"": 0.9}",1,10,2016-2020,2021,2022-2023,100,2,243.53537966683507
0.9,0.9,1.6604979,4.0505013,1.440006263407693,3.8164459202316623,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 4, ""n_estimators"": 476}",2,10,2016-2020,2021,2022-2023,100,4,384.4033597521484,1.1051405668258667,3.8764136,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.01, ""max_depth"": 10, ""n_estimators"": 147, ""subsample"": 0.9}",2,10,2016-2020,2021,2022-2023,100,2,246.93398176133636
0.9,0.8,1.6586658,4.0505333,1.4422545590697955,3.59124822401382,"{""bootstrap"": true, ""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""n_estimators"": 384}",3,10,2016-2020,2021,2022-2023,100,4,383.29017253406346,1.1031213998794556,3.7191122,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 157, ""subsample"": 0.9}",3,10,2016-2020,2021,2022-2023,100,2,229.16517653875053
0.9,0.7,1.6587557,4.050364,1.4517406633998622,3.814016204319835,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 9, ""min_samples_split"": 9, ""n_estimators"": 379}",4,10,2016-2020,2021,2022-2023,100,4,338.095050919801,1.0583031177520752,3.8101163,"{""colsample_bytree"": 0.33345548707990597, ""learning_rate"": 0.15048060191925985, ""max_depth"": 10, ""n_estimators"": 10, ""subsample"": 0.9}",0,10,2016-2020,2021,2022-2023,100,2,253.20894244126976
0.9,0.6,1.6594079,4.049481,1.4380948319632472,3.823937016590973,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 15, ""n_estimators"": 348}",5,10,2016-2020,2021,2022-2023,100,4,321.5647358763963,1.11102294921875,3.6136322,"{""colsample_bytree"": 0.5361231747097801, ""learning_rate"": 0.01, ""max_depth"": 10, ""n_estimators"": 196, ""subsample"": 0.9}",1,10,2016-2020,2021,2022-2023,100,2,240.9444165527821
0.9,0.5,1.6587075,4.0502553,1.4213810623707688,3.584217635861856,"{""bootstrap"": true, ""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""n_estimators"": 356}",6,10,2016-2020,2021,2022-2023,100,4,331.5671735238284,1.096696376800537,3.7934823,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.019425942057652, ""max_depth"": 10, ""n_estimators"": 87, ""subsample"": 0.9}",2,10,2016-2020,2021,2022-2023,100,2,289.23195900954306
0.9,0.4,1.6599717,4.0500183,1.4378097957847191,3.168900731878253,"{""bootstrap"": true, ""max_depth"": 70, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 3, ""n_estimators"": 50}",7,10,2016-2020,2021,2022-2023,100,4,332.7338511794805,1.088249683380127,3.7207282,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.01, ""max_depth"": 8, ""n_estimators"": 154, ""subsample"": 0.9}",3,10,2016-2020,2021,2022-2023,100,2,261.94934474118054
0.9,0.3,1.6614287,4.0490985,1.408567354995694,3.474942997350847,"{""bootstrap"": true, ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 12, ""n_estimators"": 50}",0,10,2016-2020,2021,2022-2023,100,4,357.56638907268643,1.090283989906311,3.7366495,"{""colsample_bytree"": 0.5391891479524185, ""learning_rate"": 0.01, ""max_depth"": 8, ""n_estimators"": 164, ""subsample"": 0.9}",0,10,2016-2020,2021,2022-2023,100,2,213.9417996518314
0.9,0.2,1.6598276,4.049071,1.432262381836325,3.786848049471772,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 6, ""n_estimators"": 401}",1,10,2016-2020,2021,2022-2023,100,4,341.15109332092106,1.0717121362686155,3.7504778,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.035885090584823885, ""max_depth"": 7, ""n_estimators"": 40, ""subsample"": 0.9}",1,10,2016-2020,2021,2022-2023,100,2,217.6730468571186
0.9,0.1,1.6588818,4.0488596,1.42288984202711,3.7865074640963288,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 3, ""n_estimators"": 468}",2,10,2016-2020,2021,2022-2023,100,4,366.6971681695432,1.0505285263061523,3.688196,"{""colsample_bytree"": 0.7119432450055688, ""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 159, ""subsample"": 0.7920971571389741}",2,10,2016-2020,2021,2022-2023,100,2,244.31184189766643
0.8,0.8,1.6588955,4.0491266,1.440013299012893,3.809903629723942,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 3, ""n_estimators"": 375}",3,10,2016-2020,2021,2022-2023,100,4,397.7812344804406,1.0901975631713867,3.7356365,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.010987706100919117, ""max_depth"": 8, ""n_estimators"": 136, ""subsample"": 0.9}",3,10,2016-2020,2021,2022-2023,100,2,259.3285328820348
0.8,0.7,1.6587002,4.049693,1.448109086940752,3.813420516597898,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 8, ""min_samples_split"": 4, ""n_estimators"": 480}",4,10,2016-2020,2021,2022-2023,100,4,373.2499046362937,1.0901954174041748,3.7797718,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 147, ""subsample"": 0.9}",0,10,2016-2020,2021,2022-2023,100,2,241.78286525420845
0.8,0.6,1.6593322,4.0501943,1.41366869792642,3.133387131097061,"{""bootstrap"": true, ""max_depth"": 30, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 6, ""n_estimators"": 115}",5,10,2016-2020,2021,2022-2023,100,4,312.4167759902776,1.0798747539520264,3.7069497,"{""colsample_bytree"": 0.5266875039075548, ""learning_rate"": 0.010957563750556048, ""max_depth"": 10, ""n_estimators"": 155, ""subsample"": 0.9}",1,10,2016-2020,2021,2022-2023,100,2,231.43380205519497
0.8,0.5,1.6604563,4.050129,1.444871090449647,3.602673781978,"{""bootstrap"": true, ""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 977}",6,10,2016-2020,2021,2022-2023,100,4,373.5691710114479,1.087395191192627,3.858713,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.01, ""max_depth"": 10, ""n_estimators"": 143, ""subsample"": 0.7032930823689476}",2,10,2016-2020,2021,2022-2023,100,2,259.2060838378966
0.8,0.4,1.6587765,4.0500145,1.443000009901675,3.801042685902386,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 9, ""min_samples_split"": 9, ""n_estimators"": 379}",7,10,2016-2020,2021,2022-2023,100,4,326.7310794778168,1.0840535163879397,3.685463,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.01, ""max_depth"": 6, ""n_estimators"": 163, ""subsample"": 0.8520043572901841}",3,10,2016-2020,2021,2022-2023,100,2,244.135137911886
0.8,0.3,1.6586773,4.0489154,1.4367646575394777,3.805445631632816,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 9, ""min_samples_split"": 9, ""n_estimators"": 379}",0,10,2016-2020,2021,2022-2023,100,4,319.406968023628,1.0811717510223389,3.6454377,"{""colsample_bytree"": 0.6657572916112706, ""learning_rate"": 0.01, ""max_depth"": 8, ""n_estimators"": 177, ""subsample"": 0.9}",0,10,2016-2020,2021,2022-2023,100,2,239.49990533851087
0.8,0.2,1.6588476,4.049062,1.4314063388518128,3.802073032238042,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 7, ""min_samples_split"": 7, ""n_estimators"": 465}",1,10,2016-2020,2021,2022-2023,100,4,328.6296739764512,1.0580464601516724,3.6448357,"{""colsample_bytree"": 0.6818123073001051, ""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 168, ""subsample"": 0.7527430833904807}",1,10,2016-2020,2021,2022-2023,100,2,257.31755532324314
0.8,0.1,1.6546695,4.048729,1.433857144537121,3.779073699888129,"{""bootstrap"": true, ""max_depth"": 3, ""max_features"": ""log2"", ""min_samples_leaf"": 8, ""min_samples_split"": 6, ""n_estimators"": 350}",2,10,2016-2020,2021,2022-2023,100,4,387.40023898147047,1.0719279050827026,3.8242314,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.01, ""max_depth"": 10, ""n_estimators"": 151, ""subsample"": 0.6858104082179284}",2,10,2016-2020,2021,2022-2023,100,2,283.0202252529561
0.7,0.7,1.6599444,4.049633,1.4336580262809302,3.588494016342656,"{""bootstrap"": true, ""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""n_estimators"": 365}",3,10,2016-2020,2021,2022-2023,100,4,333.7143971845508,1.1009868383407593,3.8752706,"{""colsample_bytree"": 0.6871866264706095, ""learning_rate"": 0.11947892470769055, ""max_depth"": 7, ""n_estimators"": 10, ""subsample"": 0.9}",3,10,2016-2020,2021,2022-2023,100,2,184.8082809168845
0.7,0.6,1.6582534,4.049356,1.453417990991898,3.600101013716578,"{""bootstrap"": true, ""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 7, ""n_estimators"": 1000}",4,10,2016-2020,2021,2022-2023,100,4,378.14971869811416,1.0694589614868164,3.8775992,"{""colsample_bytree"": 0.5496022181094253, ""learning_rate"": 0.01, ""max_depth"": 10, ""n_estimators"": 145, ""subsample"": 0.9}",0,10,2016-2020,2021,2022-2023,100,2,268.51555682346225
0.7,0.5,1.6581042,4.0502105,1.44107911792448,3.570227208267631,"{""bootstrap"": true, ""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 2, ""min_samples_split"": 7, ""n_estimators"": 400}",5,10,2016-2020,2021,2022-2023,100,4,342.4313584119081,1.085976004600525,3.7043874,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.01, ""max_depth"": 8, ""n_estimators"": 155, ""subsample"": 0.9}",1,10,2016-2020,2021,2022-2023,100,2,268.3718232680112
0.7,0.4,1.6608677,4.049852,1.4464494072454208,3.607056911799927,"{""bootstrap"": true, ""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 6, ""min_samples_split"": 3, ""n_estimators"": 1000}",6,10,2016-2020,2021,2022-2023,100,4,337.0242670569569,1.0850811004638672,3.8545167,"{""colsample_bytree"": 0.7808759317628954, ""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 135, ""subsample"": 0.7814212410925461}",2,10,2016-2020,2021,2022-2023,100,2,259.1690697837621
